Region,State,Commune,Household Size,Household Role,Recipient,Gender,Age,Assistance Time,Modality
Est,Gnagna,Thion,5,HD,P,M,35.0,2022-02-28,Food
Est,Gnagna,Thion,9,HD,P,F,53.0,2022-02-28,Food
Est,Gnagna,Thion,10,HD,P,M,34.0,2022-02-28,Food
Est,Gnagna,Thion,7,HD,P,M,21.0,2022-02-28,Food
Est,Gnagna,Thion,6,HD,P,F,54.0,2022-02-28,Food
Est,Gnagna,Thion,8,HD,P,M,42.0,2022-02-28,Food
Est,Gnagna,Thion,11,HD,P,M,36.0,2022-02-28,Food
Est,Gnagna,Thion,17,HD,P,M,29.0,2022-02-28,Food
Est,Gnagna,Thion,12,HD,P,M,39.0,2022-02-28,Food
Est,Gnagna,Thion,11,HD,P,M,41.0,2022-02-28,Food
Est,Gnagna,Thion,13,HD,P,M,59.0,2022-02-28,Food
Est,Gnagna,Thion,6,HD,P,M,37.0,2022-02-28,Food
Est,Gnagna,Thion,12,HD,P,M,55.0,2022-02-28,Food
Est,Gnagna,Thion,11,HD,P,M,54.0,2022-02-28,Food
Est,Gnagna,Thion,16,HD,P,M,43.0,2022-02-28,Food
Est,Gnagna,Thion,11,HD,P,M,42.0,2022-02-28,Food
Est,Gnagna,Thion,12,HD,P,M,42.0,2022-02-28,Food
Est,Gnagna,Thion,7,HD,P,M,47.0,2022-02-28,Food
Est,Gnagna,Thion,9,HD,P,M,29.0,2022-02-28,Food
Est,Gnagna,Thion,9,HD,P,M,36.0,2022-02-28,Food
Est,Gnagna,Thion,17,HD,P,M,51.0,2022-02-28,Food
Est,Gnagna,Thion,11,HD,P,F,20.0,2022-02-28,Food
Est,Gnagna,Thion,9,HD,P,M,64.0,2022-02-28,Food
Est,Gnagna,Thion,9,HD,P,M,58.0,2022-02-28,Food
Est,Gnagna,Thion,13,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,38.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,36.0,2021-09-26,Food
Est,Gnagna,Thion,17,HD,P,M,33.0,2021-09-26,Food
Est,Gnagna,Thion,22,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,19,HD,P,M,49.0,2021-09-26,Food
Est,Gnagna,Thion,20,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,19,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,19,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,F,46.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,41.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,F,55.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,F,49.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,47.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,34.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,31.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,56.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,50.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,56.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,20.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,20.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,25.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,45.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,63.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,33.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,29.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,39.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,53.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,39.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,54.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,47.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,57.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,30.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,49.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,59.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,67.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,56.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,54.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,29.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,32.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,23.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,52.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,F,30.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,46.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,52.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,49.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,84.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,33.0,2021-09-26,Food
Est,Gnagna,Thion,6,HD,P,F,38.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,69.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,52.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,F,43.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,F,52.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,38.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,37.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,54.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,39.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,F,35.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,F,55.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,59.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,37.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,26.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,29.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,51.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,37.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,29.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,36.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,32.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,38.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,45.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,51.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,26.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,26.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,32.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,24.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,33.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,F,49.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,F,30.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,51.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,64.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,40.0,2021-09-26,Food
Est,Gnagna,Thion,19,HD,P,F,53.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,F,39.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,28.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,52.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,36.0,2021-09-26,Food
Est,Gnagna,Thion,17,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,51.0,2021-09-26,Food
Est,Gnagna,Thion,11,HD,P,M,24.0,2021-09-26,Food
Est,Gnagna,Thion,21,HD,P,M,73.0,2021-09-26,Food
Est,Gnagna,Thion,18,HD,P,M,51.0,2021-09-26,Food
Est,Gnagna,Thion,6,HD,P,M,27.0,2021-09-26,Food
Est,Gnagna,Thion,17,HD,P,F,66.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,61.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,74.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,13,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,4,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,46.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,35.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,F,44.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,F,51.0,2021-09-26,Food
Est,Gnagna,Thion,5,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,49.0,2021-09-26,Food
Est,Gnagna,Thion,20,HD,P,M,66.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,26.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,20,HD,P,F,60.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,35.0,2021-09-26,Food
Est,Gnagna,Thion,17,HD,P,F,39.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,38.0,2021-09-26,Food
Est,Gnagna,Thion,4,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,3,HD,P,M,36.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,29.0,2021-09-26,Food
Est,Gnagna,Thion,2,HD,P,M,26.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,35.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,49.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,73.0,2021-09-26,Food
Est,Gnagna,Thion,6,HD,P,M,32.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,37.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,26.0,2021-09-26,Food
Est,Gnagna,Thion,18,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,6,HD,P,M,32.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,F,26.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,48.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,57.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,30.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,44.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,51.0,2021-09-26,Food
Est,Gnagna,Thion,20,HD,P,M,56.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,48.0,2021-09-26,Food
Est,Gnagna,Thion,4,HD,P,M,61.0,2021-09-26,Food
Est,Gnagna,Thion,6,HD,P,M,80.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,51.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,38.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,F,60.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,46.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,F,28.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,60.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,43.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,28.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,47.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,19,HD,P,M,50.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,36.0,2021-09-26,Food
Est,Gnagna,Thion,4,HD,P,M,35.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,47.0,2021-09-26,Food
Est,Gnagna,Thion,14,HD,P,M,35.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,67.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,45.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,8,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,9,HD,P,M,40.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,53.0,2021-09-26,Food
Est,Gnagna,Thion,10,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,12,HD,P,M,55.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,M,54.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,42.0,2021-09-26,Food
Est,Gnagna,Thion,7,HD,P,M,41.0,2021-09-26,Food
Est,Gnagna,Thion,16,HD,P,F,38.0,2021-09-26,Food
Est,Gnagna,Thion,15,HD,P,M,31.0,2021-09-26,Food
Est,Gnagna,Thion,20,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,25,HD,P,M,67.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,41.0,2022-04-30,Cash
Est,Gnagna,Thion,25,HD,P,M,70.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,52.0,2022-04-30,Cash
Est,Gnagna,Thion,30,HD,P,M,85.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,M,56.0,2022-04-30,Cash
Est,Gnagna,Thion,20,HD,P,M,48.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,56.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,35.0,2022-04-30,Cash
Est,Gnagna,Thion,25,HD,P,M,72.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,M,27.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,56.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,38.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,F,43.0,2022-04-30,Cash
Est,Gnagna,Thion,30,HD,P,M,48.0,2022-04-30,Cash
Est,Gnagna,Thion,20,HD,P,M,47.0,2022-04-30,Cash
Est,Gnagna,Thion,20,HD,P,M,73.0,2022-04-30,Cash
Est,Gnagna,Thion,18,HD,P,M,61.0,2022-04-30,Cash
Est,Gnagna,Thion,20,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,20,HD,P,M,60.0,2022-04-30,Cash
Est,Gnagna,Thion,14,HD,P,M,44.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,F,44.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,F,63.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,53.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,M,59.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,M,51.0,2022-04-30,Cash
Est,Gnagna,Thion,13,HD,P,M,39.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,F,66.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,47.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,34.0,2022-04-30,Cash
Est,Gnagna,Thion,16,HD,P,M,41.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,48.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,55.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,31.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,23.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,63.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,67.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,38.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,56.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,37.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,24.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,40.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,21.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,20.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,62.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,29.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,M,39.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,38.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,31.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,39.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,25.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,50.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,67.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,50.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,45.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,58.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,F,24.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,73.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,59.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,F,70.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,57.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,28.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,20.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,42.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,40.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,55.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,23.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,65.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,57.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,55.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,50.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,M,29.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,38.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,M,60.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,M,43.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,25.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,M,93.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,46.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,38.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,67.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,M,26.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,30.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,43.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,29.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,23.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,F,43.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,47.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,59.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,M,43.0,2022-04-30,Cash
Est,Gnagna,Thion,15,HD,P,M,32.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,75.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,26.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,53.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,32.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,60.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,44.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,37.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,62.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,M,41.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,31.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,37.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,28.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,F,42.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,F,35.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,58.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,24.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,M,61.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,M,56.0,2022-04-30,Cash
Est,Gnagna,Thion,16,HD,P,M,20.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,28.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,M,41.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,55.0,2022-04-30,Cash
Est,Gnagna,Thion,18,HD,P,M,23.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,63.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,39.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,57.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,23.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,M,43.0,2022-04-30,Cash
Est,Gnagna,Thion,14,HD,P,M,37.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,47.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,13,HD,P,M,59.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,59.0,2022-04-30,Cash
Est,Gnagna,Thion,37,HD,P,M,38.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,F,28.0,2022-04-30,Cash
Est,Gnagna,Thion,18,HD,P,M,31.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,47.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,M,45.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,27.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,45.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,24.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,M,25.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,57.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,67.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,32.0,2022-04-30,Cash
Est,Gnagna,Thion,14,HD,P,F,23.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,36.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,32.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,22.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,M,29.0,2022-04-30,Cash
Est,Gnagna,Thion,11,HD,P,F,42.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,54.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,F,59.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,40.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,38.0,2022-04-30,Cash
Est,Gnagna,Thion,10,HD,P,F,20.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,63.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,19.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,25.0,2022-04-30,Cash
Est,Gnagna,Thion,5,HD,P,F,29.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,F,24.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,51.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,36.0,2022-04-30,Cash
Est,Gnagna,Thion,6,HD,P,F,63.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,F,29.0,2022-04-30,Cash
Est,Gnagna,Thion,4,HD,P,F,21.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,M,27.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,63.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,40.0,2022-04-30,Cash
Est,Gnagna,Thion,12,HD,P,F,50.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,43.0,2022-04-30,Cash
Est,Gnagna,Thion,8,HD,P,F,60.0,2022-04-30,Cash
Est,Gnagna,Thion,9,HD,P,F,29.0,2022-04-30,Cash
Est,Gnagna,Thion,7,HD,P,F,24.0,2022-04-30,Cash
